Dataset,n,d,lambda,sigma
bike sharing (day),731,6,0.0001,4.25
boston,506,13,0.0001,3.45
concrete,1000,8,1e-05,2.57
red wine,1000,11,0.001,3.59
white wine,1000,11,0.001,3.17
